,Unnamed: 0,Area,Year,category,subgroup1,subgroup2,subgroup3,item code,item,value,unit,Nitrogen Production (ktN)
417882,417882,France,1961,Vegetal productions,"Crops, primary","Treenuts, Total",,221,"Almonds, in shell",3680.0,t,143.15200000000002
417883,417883,France,1961,Vegetal productions,"Crops, primary","Treenuts, Total",,220,"Chestnuts, in shell",71230.0,t,205.1424
417884,417884,France,1961,Vegetal productions,"Crops, primary","Treenuts, Total",,225,"Hazelnuts, in shell",290.0,t,1.537
417885,417885,France,1961,Vegetal productions,"Crops, primary","Treenuts, Total",,222,"Walnuts, in shell",27800.0,t,614.936
417886,417886,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,366,Artichokes,160000.0,t,512.0
417887,417887,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,367,Asparagus,68480.0,t,327.3344
417888,417888,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,420,"Broad beans and horse beans, green",8770.0,t,42.973
417889,417889,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,358,Cabbages,596720.0,t,2261.5688
417890,417890,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,426,Carrots and turnips,606350.0,t,1290.3128
417891,417891,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,393,Cauliflowers and broccoli,429800.0,t,1704.8733347659995
417892,417892,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2830.0,t,6.2826
417893,417893,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,397,Cucumbers and gherkins,50660.0,t,77.6786664978
417894,417894,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,399,Eggplants (aubergines),28430.0,t,79.98306657190001
417895,417895,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,406,Green garlic,37050.0,t,237.12
417896,417896,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,407,Leeks and other alliaceous vegetables,392370.0,t,1196.7285
417897,417897,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,372,Lettuce and chicory,458000.0,t,1105.3066651400002
417898,417898,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,449,Mushrooms and truffles,32342.0,t,300.13376
417899,417899,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,403,"Onions and shallots, dry (excluding dehydrated)",240100.0,t,621.0586674670001
417900,417900,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,402,"Onions and shallots, green",13780.0,t,35.4605332874
417901,417901,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,414,"Other beans, green",51510.0,t,211.191
417902,417902,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,463,"Other vegetables, fresh n.e.c.",3533000.0,t,19855.460000000003
417903,417903,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,417,"Peas, green",276600.0,t,4619.22
417904,417904,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,394,"Pumpkins, squash and gourds",171060.0,t,456.16000057020005
417905,417905,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,373,Spinach,83760.0,t,336.71520000000004
417906,417906,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,423,String beans,172420.0,t,513.8116
417907,417907,France,1961,Vegetal productions,"Crops, primary",Vegetables Primary,,388,Tomatoes,530400.0,t,716.04
417908,417908,France,1961,Vegetal productions,"Crops, primary",,,459,Chicory roots,160050.0,t,281.688
417909,417909,France,1961,Vegetal productions,"Crops, primary",,,17530,"Fibre Crops, Fibre Equivalent",57855.0,t,0.0
417910,417910,France,1961,Vegetal productions,"Crops, primary",,,677,Hop cones,1946.0,t,36.001000000000005
417911,417911,France,1961,Vegetal productions,"Crops, primary",,,1841,"Oilcrops, Cake Equivalent",134435.11,t,0.0
417912,417912,France,1961,Vegetal productions,"Crops, primary",,,1732,"Oilcrops, Oil Equivalent",80901.89,t,0.0
417913,417913,France,1961,Vegetal productions,"Crops, primary",,,826,Unmanufactured tobacco,34238.0,t,1429.4365
417914,417914,France,1961,Animal productions,Livestock primary,Eggs Primary,,1062,"Hen eggs in shell, fresh",520000.0,t,10244.0
417915,417915,France,1961,Animal productions,Livestock primary,"Hides and skins, primary",,919,Raw hides and skins of cattle,138009.0,t,7286.8752
417916,417916,France,1961,Animal productions,Livestock primary,"Hides and skins, primary",,1025,Raw hides and skins of goats or kids,411.0,t,21.7008
417917,417917,France,1961,Animal productions,Livestock primary,"Hides and skins, primary",,995,Raw hides and skins of sheep or lambs,12779.0,t,674.7312000000001
417918,417918,France,1961,Animal productions,Livestock primary,"Meat, Total","Meat, Poultry",1058,"Meat of chickens, fresh or chilled",439000.0,t,13170.0
417919,417919,France,1961,Animal productions,Livestock primary,"Meat, Total","Meat, Poultry",1069,"Meat of ducks, fresh or chilled",30000.0,t,900.0
417920,417920,France,1961,Animal productions,Livestock primary,"Meat, Total","Meat, Poultry",1073,"Meat of geese, fresh or chilled",9000.0,t,270.0
417921,417921,France,1961,Animal productions,Livestock primary,"Meat, Total","Meat, Poultry",1080,"Meat of turkeys, fresh or chilled",41700.0,t,1251.0
417922,417922,France,1961,Animal productions,Livestock primary,"Meat, Total",Sheep and Goat Meat,1017,"Meat of goat, fresh or chilled",6000.0,t,162.00000000000003
417923,417923,France,1961,Animal productions,Livestock primary,"Meat, Total",Sheep and Goat Meat,977,"Meat of sheep, fresh or chilled",99000.0,t,2673.0
417924,417924,France,1961,Animal productions,Livestock primary,"Meat, Total","Beef and Buffalo Meat, primary",867,"Meat of cattle with the bone, fresh or chilled",1448000.0,t,45322.4
417925,417925,France,1961,Animal productions,Livestock primary,"Meat, Total",,1097,"Horse meat, fresh or chilled",102000.0,t,3192.6
417926,417926,France,1961,Animal productions,Livestock primary,"Meat, Total",,1035,"Meat of pig with the bone, fresh or chilled",1188000.0,t,41580.0
417927,417927,France,1961,Animal productions,Livestock primary,"Meat, Total",,1141,"Meat of rabbits and hares, fresh or chilled",190000.0,t,5700.0
417928,417928,France,1961,Animal productions,Livestock primary,"Meat, Total",,1166,"Other meat of mammals, fresh or chilled",140000.0,t,4200.0
417929,417929,France,1961,Animal productions,Livestock primary,"Milk, Total",,882,Raw milk of cattle,19069296.0,t,101067.2688
417930,417930,France,1961,Animal productions,Livestock primary,"Milk, Total",,1020,Raw milk of goats,250000.0,t,2350.0
417931,417931,France,1961,Animal productions,Livestock primary,"Milk, Total",,982,Raw milk of sheep,87600.0,t,823.44
417932,417932,France,1961,Animal productions,Livestock primary,,,869,"Cattle fat, unrendered",77969.23,t,233.90769
417933,417933,France,1961,Animal productions,Livestock primary,,,868,"Edible offal of cattle, fresh, chilled or frozen",194923.08,t,5652.769319999999
417934,417934,France,1961,Animal productions,Livestock primary,,,1018,"Edible offal of goat, fresh, chilled or frozen",1269.23,t,36.80767
417935,417935,France,1961,Animal productions,Livestock primary,,,1036,"Edible offal of pigs, fresh, chilled or frozen",152513.51,t,4422.89179
417936,417936,France,1961,Animal productions,Livestock primary,,,978,"Edible offal of sheep, fresh, chilled or frozen",8514.0,t,246.906
417937,417937,France,1961,Animal productions,Livestock primary,,,1098,"Edible offals of horses and other equines,  fresh, chilled or frozen",10577.78,t,306.75562
